Quantity,Designator,Manufacturer,Manufacturer Part Number,DesignItemId

"1","J1","Sullins","SFH11-PBPC-D10-ST-BK","CONN HDR PLUG 20 2.54mm TH JLINK"
"1","J2","On-Shore Technology","302-S101","CONN HDR RECPT 10 2.54mm TH SWV"
"10","TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9, TP10","","","TP 1mm"
