Quantity,Designator,Manufacturer,Manufacturer Part Number,DesignItemId

"1","J1","On-Shore Technology","302-S101","CONN HDR RECPT 10 2.54mm TH SWV"
"1","J3","","","CONN HDR RECPT 14 1.27mm TH 20021311-00014T4LF"
"1","J2","","","CONN HDR RECPT 20 1.27mm TH 20021311-00020T4LF"
"9","TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9","","","TP 1mm"
